UID2021,UTMX,UTMY,LatinName,CommonName,SpeciesID,PositionSt,lat,long
295,454162.16,4942082.62,Tsuga canadensis ?,Eastern Hemlock,118,Good - Ground Truthed,44.63063731,-63.57788467
296,454154.07,4942076.11,Malus sp.,Flowering Crab,77,Good - Ground Truthed,44.63057819,-63.57798608
297,454139.03,4942247.09,Fraxinus excelsior,Ash,48,Good - Ground Truthed,44.6321164,-63.57819096
298,454132.04,4942255.78,Quercus rubra,Red Oak,103,Good - Ground Truthed,44.63219418,-63.57827986
299,454129.7,4942253.86,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.63217675,-63.57830919
300,454131.5,4942257.07,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63220576,-63.57828678
301,454132.71,4942263.35,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63226237,-63.57827209
302,454131.49,4942269.24,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.63231532,-63.578288
303,454131.28,4942272.73,Aesculus hippocastanum,Horse-Chestnut,14,Good - Ground Truthed,44.63234672,-63.57829096
304,454132.29,4942278.94,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63240269,-63.57827878
305,454131.59,4942281.09,Ulmus glabra,Elm,121,Good - Ground Truthed,44.632422,-63.5782878
306,454126.9,4942284.23,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63244996,-63.5783472
307,454129.62,4942310.85,Tilia cordata,Basswood,116,Good - Ground Truthed,44.63268977,-63.57831529
308,454123.01,4942331.7,Acer platanoides ?,Norway Maple,7,Good - Ground Truthed,44.63287704,-63.57840049
309,454126.02,4942336.06,Acer rubrum ?,Red Maple,9,Good - Ground Truthed,44.63291648,-63.57836293
310,454129.72,4942342.91,Acer platanoides,Norway Maple,5,Good - Ground Truthed,44.63297838,-63.5783169
311,454124.44,4942337.14,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63292611,-63.57838295
312,454130.3,4942349.18,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63303486,-63.57831015
313,454131.19,4942356.96,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63310496,-63.57829962
314,454131.05,4942366.02,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63318651,-63.5783022
315,454131.03,4942370.28,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63322485,-63.57830283
316,454127.86,4942370.38,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63322555,-63.5783428
317,454104.86,4942377.76,Robinia pseudoacacia,Black Locust,107,Good - Ground Truthed,44.63329052,-63.57863343
318,454082.57,4942407.04,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63355267,-63.57891706
319,454002.9,4942326.97,Ulmus americana,American Elm,119,Good - Ground Truthed,44.63282678,-63.57991429
320,454118.34,4942393.21,Robinia pseudoacacia,Black Locust,107,Good - Ground Truthed,44.63343046,-63.57846487
321,454135.03,4942390.49,Ulmus glabra,Elm,121,Good - Ground Truthed,44.63340704,-63.57825421
